State,year,population
Alabama,2018,4874486
Alabama,2019,4887681
Alabama,2020,4903185
Alaska,2018,739700
Alaska,2019,735139
Alaska,2020,731545
Arizona,2018,7044008
Arizona,2019,7158024
Arizona,2020,7278717
Arkansas,2018,3001345
Arkansas,2019,3009733
Arkansas,2020,3017804
California,2018,39358497
California,2019,39461588
California,2020,39512223
Colorado,2018,5611885
Colorado,2019,5691287
Colorado,2020,5758736
Connecticut,2018,3573297
Connecticut,2019,3571520
Connecticut,2020,3565287
Delaware,2018,956823
Delaware,2019,965479
Delaware,2020,973764
District of Columbia,2018,694906
District of Columbia,2019,701547
District of Columbia,2020,705749
Florida,2018,20963613
Florida,2019,21244317
Florida,2020,21477737
Georgia,2018,10410330
Georgia,2019,10511131
Georgia,2020,10617423
Hawaii,2018,1424393
Hawaii,2019,1420593
Hawaii,2020,1415872
Idaho,2018,1717715
Idaho,2019,1750536
Idaho,2020,1787065
Illinois,2018,12778828
Illinois,2019,12723071
Illinois,2020,12671821
Indiana,2018,6658078
Indiana,2019,6695497
Indiana,2020,6732219
Iowa,2018,3141550
Iowa,2019,3148618
Iowa,2020,3155070
Kansas,2018,2908718
Kansas,2019,2911359
Kansas,2020,2913314
Kentucky,2018,4452268
Kentucky,2019,4461153
Kentucky,2020,4467673
Louisiana,2018,4670560
Louisiana,2019,4659690
Louisiana,2020,4648794
Maine,2018,1334612
Maine,2019,1339057
Maine,2020,1344212
Maryland,2018,6023868
Maryland,2019,6035802
Maryland,2020,6045680
Massachusetts,2018,6859789
Massachusetts,2019,6882635
Massachusetts,2020,6892503
Michigan,2018,9973114
Michigan,2019,9984072
Michigan,2020,9986857
Minnesota,2018,5566230
Minnesota,2019,5606249
Minnesota,2020,5639632
Mississippi,2018,2988510
Mississippi,2019,2981020
Mississippi,2020,2976149
Missouri,2018,6106670
Missouri,2019,6121623
Missouri,2020,6137428
Montana,2018,1052482
Montana,2019,1060665
Montana,2020,1068778
Nebraska,2018,1915947
Nebraska,2019,1925614
Nebraska,2020,1934408
Nevada,2018,2969905
Nevada,2019,3027341
Nevada,2020,3080156
New Hampshire,2018,1348787
New Hampshire,2019,1353465
New Hampshire,2020,1359711
New Jersey,2018,8885525
New Jersey,2019,8886025
New Jersey,2020,8882190
New Mexico,2018,2091784
New Mexico,2019,2092741
New Mexico,2020,2096829
New York,2018,19589572
New York,2019,19530351
New York,2020,19453561
North Carolina,2018,10268233
North Carolina,2019,10381615
North Carolina,2020,10488084
North Dakota,2018,754942
North Dakota,2019,758080
North Dakota,2020,762062
Ohio,2018,11659650
Ohio,2019,11676341
Ohio,2020,11689100
Oklahoma,2018,3931316
Oklahoma,2019,3940235
Oklahoma,2020,3956971
Oregon,2018,4143625
Oregon,2019,4181886
Oregon,2020,4217737
Pennsylvania,2018,12787641
Pennsylvania,2019,12800922
Pennsylvania,2020,12801989
Rhode Island,2018,1055673
Rhode Island,2019,1058287
Rhode Island,2020,1059361
South Carolina,2018,5021268
South Carolina,2019,5084156
South Carolina,2020,5148714
South Dakota,2018,872868
South Dakota,2019,878698
South Dakota,2020,884659
Tennessee,2018,6708799
Tennessee,2019,6771631
Tennessee,2020,6829174
Texas,2018,28295273
Texas,2019,28628666
Texas,2020,28995881
Utah,2018,3101042
Utah,2019,3153550
Utah,2020,3205958
Vermont,2018,624344
Vermont,2019,624358
Vermont,2020,623989
Virginia,2018,8463587
Virginia,2019,8501286
Virginia,2020,8535519
Washington,2018,7423362
Washington,2019,7523869
Washington,2020,7614893
West Virginia,2018,1817004
West Virginia,2019,1804291
West Virginia,2020,1792147
Wisconsin,2018,5790186
Wisconsin,2019,5807406
Wisconsin,2020,5822434
Wyoming,2018,578931
Wyoming,2019,577601
Wyoming,2020,578759
